Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-Group,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational Level - Literate without Educational Level Persons,Educational Level - Literate without Educational Level Males,Educational Level - Literate without Educational Level Females,Educational Level - Below Primary Persons,Educational Level - Below Primary Males,Educational Level - Below Primary Females,Educational Level - Primary Persons,Educational Level - Primary Males,Educational Level - Primary Females,Educational Level - Middle Persons,Educational Level - Middle Males,Educational Level - Middle Females,Educational Level - Matric/Secondary Persons,Educational Level - Matric/Secondary Males,Educational Level - Matric/Secondary Females,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Persons,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Males,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Females,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Persons,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Males,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Females,Educational Level - Technical Diploma or Certificate Not Equal to Degree Persons,Educational Level - Technical Diploma or Certificate Not Equal to Degree Males,Educational Level - Technical Diploma or Certificate Not Equal to Degree Females,Educational Level - Graduate & Above Persons,Educational Level - Graduate & Above Males,Educational Level - Graduate & Above Females,Unclassified - Persons,Unclassified - Males,Unclassified - Females
C2508SC,00,00,0000,INDIA,Total,All ages,166635700,86088760,80546940,91317415,38655873,52661542,75318285,47432887,27885398,3052112,1763953,1288159,24578308,14228372,10349936,21544084,13244600,8299484,12258556,8216655,4041901,7839894,5465166,2374728,3412305,2448561,963744,22424,15129,7295,288048,233146,54902,2316640,1813322,503318,5914,3983,1931
C2508SC,00,00,0000,INDIA,Total,0-6,28914095,14916245,13997850,28914095,14916245,13997850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,00,00,0000,INDIA,Total,7,4028454,2076683,1951771,1652162,792161,860001,2376292,1284522,1091770,37221,21169,16052,2338702,1263155,1075547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,198,171
C2508SC,00,00,0000,INDIA,Total,8,5572006,2906559,2665447,1830354,846793,983561,3741652,2059766,1681886,46469,26283,20186,3694849,2033293,1661556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,190,144
C2508SC,00,00,0000,INDIA,Total,9,3594225,1855837,1738388,736477,316142,420335,2857748,1539695,1318053,22156,11836,10320,2643583,1423527,1220056,191856,104254,87602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,78,75
C2508SC,00,00,0000,INDIA,Total,10,6055780,3230125,2825655,1522392,662262,860130,4533388,2567863,1965525,51068,28470,22598,3387135,1906237,1480898,1094979,633046,461933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,110,96
C2508SC,00,00,0000,INDIA,Total,11,2977176,1574666,1402510,451607,176162,275445,2525569,1398504,1127065,19855,10257,9598,1195712,656513,539199,1309910,731699,578211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,57
C2508SC,00,00,0000,INDIA,Total,12,5297235,2841825,2455410,1220937,498084,722853,4076298,2343741,1732557,47404,25032,22372,1416642,795405,621237,2412786,1404800,1007986,199302,118428,80874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,76,88
C2508SC,00,00,0000,INDIA,Total,13,3292278,1703523,1588755,600357,214538,385819,2691921,1488985,1202936,29283,13892,15391,531108,275562,255546,1647671,930577,717094,483740,268907,214833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,47,72
C2508SC,00,00,0000,INDIA,Total,14,3709853,1964072,1745781,795825,297434,498391,2914028,1666638,1247390,40442,20100,20342,457656,241186,216470,1362034,791623,570411,1053794,613675,440119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,54,48
C2508SC,00,00,0000,INDIA,Total,15,3750064,2086903,1663161,957839,409842,547997,2792225,1677061,1115164,55280,30092,25188,379320,212883,166437,1004719,608464,396255,1034023,640565,393458,318802,185011,133791,0,0,0,0,0,0,0,0,0,0,0,0,81,46,35
C2508SC,00,00,0000,INDIA,Total,16,3515131,1920373,1594758,910278,365527,544751,2604853,1554846,1050007,57529,30496,27033,319623,178529,141094,768025,453079,314946,863238,543685,319553,596374,349019,247355,0,0,0,0,0,0,0,0,0,0,0,0,64,38,26
C2508SC,00,00,0000,INDIA,Total,17,2278030,1262538,1015492,496810,191353,305457,1781220,1071185,710035,40646,21700,18946,184033,103634,80399,447798,264510,183288,507786,321718,186068,600890,359592,241298,0,0,0,0,0,0,0,0,0,0,0,0,67,31,36
C2508SC,00,00,0000,INDIA,Total,18,4548152,2528824,2019328,1426085,558531,867554,3122067,1970293,1151774,97935,53553,44382,380323,222996,157327,831954,508347,323607,801100,534524,266576,637854,422498,215356,357664,216403,141261,1041,657,384,14030,11204,2826,0,0,0,166,111,55
C2508SC,00,00,0000,INDIA,Total,19,2029290,1052870,976420,532270,167516,364754,1497020,885354,611666,46798,23917,22881,165460,87245,78215,358914,199772,159142,355875,219063,136812,294058,186066,107992,261457,158085,103372,973,596,377,13390,10553,2837,0,0,0,95,57,38
C2508SC,00,00,0000,INDIA,Total,20-24,13957965,7109731,6848234,5158909,1649225,3509684,8799056,5460506,3338550,362472,186267,176205,1089602,595350,494252,2193554,1268614,924940,1969756,1281222,688534,1499272,986250,513022,1096395,737466,358929,6158,3989,2169,81254,65593,15661,499805,335211,164594,788,544,244
C2508SC,00,00,0000,INDIA,Total,25-29,13140261,6502353,6637908,5906961,1899686,4007275,7233300,4602667,2630633,379853,201631,178222,1091313,596111,495202,1860846,1087147,773699,1492507,1003999,488508,1157121,794564,362557,609964,441846,168118,4674,3115,1559,53739,43853,9886,582665,429976,152689,618,425,193
C2508SC,00,00,0000,INDIA,Total,30-34,11537943,5742649,5795294,6080497,2075911,4004586,5457446,3666738,1790708,341688,188420,153268,1002800,590256,412544,1423496,882922,540574,1043676,744878,298798,809495,599201,210294,390845,305415,85430,3341,2220,1121,35595,28941,6654,405958,324094,81864,552,391,161
C2508SC,00,00,0000,INDIA,Total,35-39,11065850,5629795,5436055,6338246,2353553,3984693,4727604,3276242,1451362,332603,195370,137233,1054994,666334,388660,1326918,865432,461486,821003,603733,217270,613459,470260,143199,260999,210399,50600,2135,1475,660,26162,21288,4874,288885,241650,47235,446,301,145
C2508SC,00,00,0000,INDIA,Total,40-44,8519706,4560214,3959492,5132580,2066962,3065618,3387126,2493252,893874,247750,156230,91520,799615,545278,254337,978671,692392,286279,553936,430048,123888,426272,343476,82796,160657,135374,25283,1372,972,400,18327,14848,3479,200148,174342,25806,378,292,86
C2508SC,00,00,0000,INDIA,Total,45-49,7271189,3783144,3488045,4536033,1729984,2806049,2735156,2053160,681996,201918,128766,73152,672773,463396,209377,803093,583483,219610,426503,338551,87952,345445,288018,57427,117749,102416,15333,1072,767,305,14983,12192,2791,151275,135283,15992,345,288,57
C2508SC,00,00,0000,INDIA,Total,50-54,5531990,2990927,2541063,3722298,1551009,2171289,1809692,1439918,369774,145991,98652,47339,478492,353949,124543,523711,410931,112780,258537,217245,41292,227091,199946,27145,71020,64503,6517,682,527,155,12098,9601,2497,91840,84359,7481,230,205,25
C2508SC,00,00,0000,INDIA,Total,55-59,4177831,1994748,2183083,2992094,1053260,1938834,1185737,941488,244249,103024,66379,36645,368767,275365,93402,338209,268026,70183,150864,128355,22509,130925,117349,13576,37848,34895,2953,422,344,78,8658,7015,1643,46840,43602,3238,180,158,22
C2508SC,00,00,0000,INDIA,Total,60-64,4350089,2128695,2221394,3422553,1367516,2055037,927536,761179,166357,103408,68713,34695,328161,260705,67456,264877,222824,42053,98993,87151,11842,82935,76347,6588,20383,18932,1451,246,206,40,5176,4286,890,23223,21895,1328,134,120,14
C2508SC,00,00,0000,INDIA,Total,65-69,2947771,1389824,1557947,2360234,907870,1452364,587537,481954,105583,68028,44622,23406,241950,194983,46967,161401,136904,24497,54073,47903,6170,40512,37614,2898,9145,8461,684,105,90,15,2246,1840,406,10000,9474,526,77,63,14
C2508SC,00,00,0000,INDIA,Total,70-74,2179293,1129098,1050195,1789958,802819,987139,389335,326279,63056,50226,34427,15799,164038,139029,25009,107640,93004,14636,33069,28995,4074,22711,20669,2042,5420,4656,764,81,73,8,1054,855,199,5039,4516,523,57,55,2
C2508SC,00,00,0000,INDIA,Total,75-79,861740,429920,431820,689932,288955,400977,171808,140965,30843,19871,13294,6577,70735,59398,11337,46569,39322,7247,16980,14150,2830,11447,9697,1750,3096,2470,626,35,32,3,446,357,89,2598,2222,376,31,23,8
C2508SC,00,00,0000,INDIA,Total,80+,1101864,543453,558411,894433,381605,512828,207431,161848,45583,26908,17186,9722,83565,65700,17865,53272,43421,9851,21145,16989,4156,13421,11106,2315,4309,3433,876,44,37,7,477,388,89,4259,3559,700,31,29,2
C2508SC,00,00,0000,INDIA,Total,Age not stated,430439,233166,197273,245199,114928,130271,185240,118238,67002,76286,47199,29087,37357,22353,15004,31181,20007,11174,18656,12871,5785,11810,8483,3327,5354,3807,1547,43,29,14,413,332,81,4105,3139,966,35,18,17
C2508SC,00,00,0000,INDIA,Rural,All ages,133010878,68603342,64407536,77204612,32779457,44425155,55806266,35823885,19982381,2493732,1449980,1043752,19947886,11682453,8265433,16185972,10219460,5966512,8676752,6027459,2649293,5091691,3719609,1372082,2057325,1583456,473869,10490,6905,3585,159804,132730,27074,1178544,999132,179412,4070,2701,1369
C2508SC,00,00,0000,INDIA,Rural,0-6,23932402,12327050,11605352,23932402,12327050,11605352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,00,00,0000,INDIA,Rural,7,3271514,1686195,1585319,1416872,676856,740016,1854642,1009339,845303,30822,17591,13231,1823543,991598,831945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,150,127
C2508SC,00,00,0000,INDIA,Rural,8,4609021,2404372,2204649,1603839,738490,865349,3005182,1665882,1339300,39745,22498,17247,2965174,1643240,1321934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,144,119
C2508SC,00,00,0000,INDIA,Rural,9,2929414,1514668,1414746,635693,270196,365497,2293721,1244472,1049249,18596,9923,8673,2136268,1157036,979232,138738,77457,61281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,56,63
C2508SC,00,00,0000,INDIA,Rural,10,4955019,2645636,2309383,1331889,573658,758231,3623130,2071978,1551152,43818,24364,19454,2765418,1564327,1201091,813729,483200,330529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,87,78
C2508SC,00,00,0000,INDIA,Rural,11,2333446,1238754,1094692,382454,145952,236502,1950992,1092802,858190,16286,8328,7958,963969,529691,434278,970669,554758,415911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,25,43
C2508SC,00,00,0000,INDIA,Rural,12,4272780,2297850,1974930,1065079,427903,637176,3207701,1869947,1337754,40672,21331,19341,1185691,666306,519385,1846683,1098052,748631,134519,84198,50321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,60,76
C2508SC,00,00,0000,INDIA,Rural,13,2564794,1335537,1229257,512190,178752,333438,2052604,1156785,895819,24538,11544,12994,439450,227245,212205,1259103,725377,533726,329423,192584,136839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,35,55
C2508SC,00,00,0000,INDIA,Rural,14,2908101,1548587,1359514,685066,250894,434172,2223035,1297693,925342,34065,16770,17295,384955,202492,182463,1063266,628085,435181,740677,450315,290362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,31,41
C2508SC,00,00,0000,INDIA,Rural,15,2937068,1650656,1286412,824762,348637,476125,2112306,1302019,810287,46725,25339,21386,319148,179591,139557,788405,485505,302900,750573,482698,267875,207400,128852,78548,0,0,0,0,0,0,0,0,0,0,0,0,55,34,21
C2508SC,00,00,0000,INDIA,Rural,16,2712196,1496740,1215456,782074,308757,473317,1930122,1187983,742139,47676,25211,22465,266560,149660,116900,597968,359344,238624,631060,411678,219382,386811,242062,144749,0,0,0,0,0,0,0,0,0,0,0,0,47,28,19
C2508SC,00,00,0000,INDIA,Rural,17,1667197,930783,736414,415418,155592,259826,1251779,775191,476588,31894,16967,14927,148989,84046,64943,334318,200678,133640,360462,235162,125300,376080,238324,137756,0,0,0,0,0,0,0,0,0,0,0,0,36,14,22
C2508SC,00,00,0000,INDIA,Rural,18,3519677,1964060,1555617,1222872,471592,751280,2296805,1492468,804337,80102,43821,36281,316264,186432,129832,645797,401752,244045,592680,407435,185245,440202,304472,135730,213220,141452,71768,429,284,145,8004,6746,1258,0,0,0,107,74,33
C2508SC,00,00,0000,INDIA,Rural,19,1488229,765694,722535,447599,136217,311382,1040630,629477,411153,35925,18091,17834,134320,70553,63767,268131,150573,117558,251199,158184,93015,195204,128011,67193,148057,97721,50336,382,242,140,7355,6070,1285,0,0,0,57,32,25
C2508SC,00,00,0000,INDIA,Rural,20-24,10719815,5408731,5311084,4424300,1398629,3025671,6295515,4010102,2285413,291730,149296,142434,903011,496675,406336,1670838,985802,685036,1424305,952149,472156,1023390,701897,321493,671760,486800,184960,2842,1840,1002,47185,39068,8117,259994,196260,63734,460,315,145
C2508SC,00,00,0000,INDIA,Rural,25-29,10252250,5047180,5205070,5038774,1629577,3409197,5213476,3417603,1795873,308091,163493,144598,900859,501640,399219,1398478,844288,554190,1077388,750744,326644,784714,565379,219335,389720,302937,86783,2425,1600,825,31291,25887,5404,320078,261334,58744,432,301,131
C2508SC,00,00,0000,INDIA,Rural,30-34,9100629,4502904,4597725,5182533,1788615,3393918,3918096,2714289,1203807,282738,155918,126820,822021,495466,326555,1048704,677330,371374,739505,550131,189374,537399,420567,116832,245746,205711,40035,1719,1094,625,19676,16181,3495,220223,191636,28587,365,255,110
C2508SC,00,00,0000,INDIA,Rural,35-39,8655248,4412234,4243014,5322019,2014474,3307545,3333229,2397760,935469,272107,161617,110490,852473,555821,296652,950114,652679,297435,558617,433062,125555,384344,315525,68819,154445,134548,19897,1030,681,349,13272,10962,2310,146500,132649,13851,327,216,111
C2508SC,00,00,0000,INDIA,Rural,40-44,6687322,3560153,3127169,4333523,1775088,2558435,2353799,1785065,568734,201680,128646,73034,644484,452129,192355,701509,519191,182318,368643,299932,68711,248944,213937,35007,88733,79602,9131,604,394,210,8582,7122,1460,90364,83912,6452,256,200,56
C2508SC,00,00,0000,INDIA,Rural,45-49,5719539,2948352,2771187,3827671,1487709,2339962,1891868,1460643,431225,161903,104680,57223,540553,384459,156094,575459,438553,136906,282617,234930,47687,196859,173945,22914,62841,57722,5119,440,286,154,7264,6188,1076,63706,59687,4019,226,193,33
C2508SC,00,00,0000,INDIA,Rural,50-54,4431803,2382823,2048980,3165063,1349688,1815375,1266740,1033135,233605,117760,81042,36718,385746,294196,91550,379646,310994,68652,171539,150269,21270,129411,119140,10271,37840,35708,2132,251,183,68,6352,5259,1093,38043,36205,1838,152,139,13
C2508SC,00,00,0000,INDIA,Rural,55-59,3400487,1601788,1798699,2557855,916541,1641314,842632,685247,157385,83124,54373,28751,296922,229350,67572,244085,202058,42027,99017,87864,11153,74651,69467,5184,19812,18798,1014,152,121,31,5012,4225,787,19731,18877,854,126,114,12
C2508SC,00,00,0000,INDIA,Rural,60-64,3633397,1784436,1848961,2946695,1208142,1738553,686702,576294,110408,85262,57955,27307,267224,218893,48331,196750,171477,25273,67105,61362,5743,48000,45548,2452,10153,9609,544,93,80,13,3127,2714,413,8898,8574,324,90,82,8
C2508SC,00,00,0000,INDIA,Rural,65-69,2482529,1176356,1306173,2040023,804218,1235805,442506,372138,70368,56420,37842,18578,197187,164021,33166,119452,105320,14132,36491,33646,2845,23260,22216,1044,4558,4287,271,35,25,10,1345,1167,178,3712,3575,137,46,39,7
C2508SC,00,00,0000,INDIA,Rural,70-74,1839478,962611,876867,1545006,710583,834423,294472,252028,42444,41501,29025,12476,133092,115632,17460,78852,70093,8759,22271,20124,2147,13056,12088,968,2930,2555,375,39,36,3,648,563,85,2054,1884,170,29,28,1
C2508SC,00,00,0000,INDIA,Rural,75-79,725062,363098,361964,596879,255486,341393,128183,107612,20571,16139,11007,5132,57213,49330,7883,33649,29168,4481,11446,9799,1647,6719,5784,935,1667,1357,310,18,16,2,243,206,37,1069,931,138,20,14,6
C2508SC,00,00,0000,INDIA,Rural,80+,921114,460674,460440,764306,335500,428806,156808,125174,31634,21728,14151,7577,67751,54694,13057,39361,32878,6483,14683,12132,2551,8258,7019,1239,2621,2191,430,17,13,4,257,210,47,2109,1864,245,23,22,1
C2508SC,00,00,0000,INDIA,Rural,Age not stated,341347,185420,155927,201756,94661,107095,139591,90759,48832,62685,39157,23528,29601,17930,11671,22268,14848,7420,12532,9061,3471,6989,5376,1613,3222,2458,764,14,10,4,191,162,29,2063,1744,319,26,13,13
C2508SC,00,00,0000,INDIA,Urban,All ages,33624822,17485418,16139404,14112803,5876416,8236387,19512019,11609002,7903017,558380,313973,244407,4630422,2545919,2084503,5358112,3025140,2332972,3581804,2189196,1392608,2748203,1745557,1002646,1354980,865105,489875,11934,8224,3710,128244,100416,27828,1138096,814190,323906,1844,1282,562
C2508SC,00,00,0000,INDIA,Urban,0-6,4981693,2589195,2392498,4981693,2589195,2392498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,00,00,0000,INDIA,Urban,7,756940,390488,366452,235290,115305,119985,521650,275183,246467,6399,3578,2821,515159,271557,243602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,48,44
C2508SC,00,00,0000,INDIA,Urban,8,962985,502187,460798,226515,108303,118212,736470,393884,342586,6724,3785,2939,729675,390053,339622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,46,25
C2508SC,00,00,0000,INDIA,Urban,9,664811,341169,323642,100784,45946,54838,564027,295223,268804,3560,1913,1647,507315,266491,240824,53118,26797,26321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,12
C2508SC,00,00,0000,INDIA,Urban,10,1100761,584489,516272,190503,88604,101899,910258,495885,414373,7250,4106,3144,621717,341910,279807,281250,149846,131404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,18
C2508SC,00,00,0000,INDIA,Urban,11,643730,335912,307818,69153,30210,38943,574577,305702,268875,3569,1929,1640,231743,126822,104921,339241,176941,162300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,14
C2508SC,00,00,0000,INDIA,Urban,12,1024455,543975,480480,155858,70181,85677,868597,473794,394803,6732,3701,3031,230951,129099,101852,566103,306748,259355,64783,34230,30553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,12
C2508SC,00,00,0000,INDIA,Urban,13,727484,367986,359498,88167,35786,52381,639317,332200,307117,4745,2348,2397,91658,48317,43341,388568,205200,183368,154317,76323,77994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,17
C2508SC,00,00,0000,INDIA,Urban,14,801752,415485,386267,110759,46540,64219,690993,368945,322048,6377,3330,3047,72701,38694,34007,298768,163538,135230,313117,163360,149757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,7
C2508SC,00,00,0000,INDIA,Urban,15,812996,436247,376749,133077,61205,71872,679919,375042,304877,8555,4753,3802,60172,33292,26880,216314,122959,93355,283450,157867,125583,111402,56159,55243,0,0,0,0,0,0,0,0,0,0,0,0,26,12,14
C2508SC,00,00,0000,INDIA,Urban,16,802935,423633,379302,128204,56770,71434,674731,366863,307868,9853,5285,4568,53063,28869,24194,170057,93735,76322,232178,132007,100171,209563,106957,102606,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7
C2508SC,00,00,0000,INDIA,Urban,17,610833,331755,279078,81392,35761,45631,529441,295994,233447,8752,4733,4019,35044,19588,15456,113480,63832,49648,147324,86556,60768,224810,121268,103542,0,0,0,0,0,0,0,0,0,0,0,0,31,17,14
C2508SC,00,00,0000,INDIA,Urban,18,1028475,564764,463711,203213,86939,116274,825262,477825,347437,17833,9732,8101,64059,36564,27495,186157,106595,79562,208420,127089,81331,197652,118026,79626,144444,74951,69493,612,373,239,6026,4458,1568,0,0,0,59,37,22
C2508SC,00,00,0000,INDIA,Urban,19,541061,287176,253885,84671,31299,53372,456390,255877,200513,10873,5826,5047,31140,16692,14448,90783,49199,41584,104676,60879,43797,98854,58055,40799,113400,60364,53036,591,354,237,6035,4483,1552,0,0,0,38,25,13
C2508SC,00,00,0000,INDIA,Urban,20-24,3238150,1701000,1537150,734609,250596,484013,2503541,1450404,1053137,70742,36971,33771,186591,98675,87916,522716,282812,239904,545451,329073,216378,475882,284353,191529,424635,250666,173969,3316,2149,1167,34069,26525,7544,239811,138951,100860,328,229,99
C2508SC,00,00,0000,INDIA,Urban,25-29,2888011,1455173,1432838,868187,270109,598078,2019824,1185064,834760,71762,38138,33624,190454,94471,95983,462368,242859,219509,415119,253255,161864,372407,229185,143222,220244,138909,81335,2249,1515,734,22448,17966,4482,262587,168642,93945,186,124,62
C2508SC,00,00,0000,INDIA,Urban,30-34,2437314,1239745,1197569,897964,287296,610668,1539350,952449,586901,58950,32502,26448,180779,94790,85989,374792,205592,169200,304171,194747,109424,272096,178634,93462,145099,99704,45395,1622,1126,496,15919,12760,3159,185735,132458,53277,187,136,51
C2508SC,00,00,0000,INDIA,Urban,35-39,2410602,1217561,1193041,1016227,339079,677148,1394375,878482,515893,60496,33753,26743,202521,110513,92008,376804,212753,164051,262386,170671,91715,229115,154735,74380,106554,75851,30703,1105,794,311,12890,10326,2564,142385,109001,33384,119,85,34
C2508SC,00,00,0000,INDIA,Urban,40-44,1832384,1000061,832323,799057,291874,507183,1033327,708187,325140,46070,27584,18486,155131,93149,61982,277162,173201,103961,185293,130116,55177,177328,129539,47789,71924,55772,16152,768,578,190,9745,7726,2019,109784,90430,19354,122,92,30
C2508SC,00,00,0000,INDIA,Urban,45-49,1551650,834792,716858,708362,242275,466087,843288,592517,250771,40015,24086,15929,132220,78937,53283,227634,144930,82704,143886,103621,40265,148586,114073,34513,54908,44694,10214,632,481,151,7719,6004,1715,87569,75596,11973,119,95,24
C2508SC,00,00,0000,INDIA,Urban,50-54,1100187,608104,492083,557235,201321,355914,542952,406783,136169,28231,17610,10621,92746,59753,32993,144065,99937,44128,86998,66976,20022,97680,80806,16874,33180,28795,4385,431,344,87,5746,4342,1404,53797,48154,5643,78,66,12
C2508SC,00,00,0000,INDIA,Urban,55-59,777344,392960,384384,434239,136719,297520,343105,256241,86864,19900,12006,7894,71845,46015,25830,94124,65968,28156,51847,40491,11356,56274,47882,8392,18036,16097,1939,270,223,47,3646,2790,856,27109,24725,2384,54,44,10
C2508SC,00,00,0000,INDIA,Urban,60-64,716692,344259,372433,475858,159374,316484,240834,184885,55949,18146,10758,7388,60937,41812,19125,68127,51347,16780,31888,25789,6099,34935,30799,4136,10230,9323,907,153,126,27,2049,1572,477,14325,13321,1004,44,38,6
C2508SC,00,00,0000,INDIA,Urban,65-69,465242,213468,251774,320211,103652,216559,145031,109816,35215,11608,6780,4828,44763,30962,13801,41949,31584,10365,17582,14257,3325,17252,15398,1854,4587,4174,413,70,65,5,901,673,228,6288,5899,389,31,24,7
C2508SC,00,00,0000,INDIA,Urban,70-74,339815,166487,173328,244952,92236,152716,94863,74251,20612,8725,5402,3323,30946,23397,7549,28788,22911,5877,10798,8871,1927,9655,8581,1074,2490,2101,389,42,37,5,406,292,114,2985,2632,353,28,27,1
C2508SC,00,00,0000,INDIA,Urban,75-79,136678,66822,69856,93053,33469,59584,43625,33353,10272,3732,2287,1445,13522,10068,3454,12920,10154,2766,5534,4351,1183,4728,3913,815,1429,1113,316,17,16,1,203,151,52,1529,1291,238,11,9,2
C2508SC,00,00,0000,INDIA,Urban,80+,180750,82779,97971,130127,46105,84022,50623,36674,13949,5180,3035,2145,15814,11006,4808,13911,10543,3368,6462,4857,1605,5163,4087,1076,1688,1242,446,27,24,3,220,178,42,2150,1695,455,8,7,1
C2508SC,00,00,0000,INDIA,Urban,Age not stated,89092,47746,41346,43443,20267,23176,45649,27479,18170,13601,8042,5559,7756,4423,3333,8913,5159,3754,6124,3810,2314,4821,3107,1714,2132,1349,783,29,19,10,222,170,52,2042,1395,647,9,5,4
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,770155,403256,366899,384637,165577,219060,385518,237679,147839,11671,5913,5758,84057,48423,35634,111708,65517,46191,106937,69101,37836,48884,33154,15730,14052,9338,4714,20,14,6,254,214,40,7902,5980,1922,33,25,8
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,0-6,117040,61617,55423,117040,61617,55423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,7,17792,9283,8509,7220,3558,3662,10572,5725,4847,229,119,110,10342,5606,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,8,21287,11006,10281,6047,2741,3306,15240,8265,6975,217,109,108,15023,8156,6867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,9,17014,8904,8110,3607,1530,2077,13407,7374,6033,135,78,57,12348,6814,5534,924,482,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,10,23446,12335,11111,4328,1759,2569,19118,10576,8542,175,68,107,14630,8204,6426,4313,2304,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,11,15160,7958,7202,2386,892,1494,12774,7066,5708,91,46,45,6398,3637,2761,6285,3383,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,12,23566,12215,11351,4051,1530,2521,19515,10685,8830,171,81,90,5938,3327,2611,12408,6746,5662,997,531,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,13,18488,9394,9094,2959,1012,1947,15529,8382,7147,116,57,59,2335,1278,1057,10849,5933,4916,2229,1114,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,14,20711,10504,10207,3389,1110,2279,17322,9394,7928,162,79,83,1606,886,720,9557,5255,4302,5997,3174,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,15,19543,9756,9787,3489,1254,2235,16054,8502,7552,147,75,72,1027,551,476,6399,3470,2929,7451,3923,3528,1030,483,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,00,0000,State - JAMMU & KASHMIR  01,Total,16,20781,10434,10347,3663,1342,2321,17118,9092,8026,185,84,101,826,467,359,5087,2714,2373,8376,4448,3928,2643,1379,1264,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
